priceTimestamp,pricePVPC,priceSpot
2025-05-12T03:00:00Z,93.74,15.3
2025-05-12T11:00:00Z,141.51,-4.0
2025-05-12T19:00:00Z,276.83,122.03
2025-05-12T00:00:00Z,97.45,17.7
2025-05-12T06:00:00Z,110.64,22.1
2025-05-12T08:00:00Z,147.04,-0.89
2025-05-12T02:00:00Z,93.93,14.0
2025-05-12T17:00:00Z,160.96,10.3
2025-05-12T14:00:00Z,79.24,-4.0
2025-05-12T09:00:00Z,145.27,-3.0
2025-05-12T05:00:00Z,103.4,35.01
2025-05-12T16:00:00Z,148.98,0.0
2025-05-12T13:00:00Z,78.4,-4.21
2025-05-12T20:00:00Z,196.35,103.75
2025-05-12T10:00:00Z,144.4,-4.0
2025-05-12T04:00:00Z,97.3,22.34
2025-05-12T12:00:00Z,77.42,-4.0
2025-05-12T18:00:00Z,214.1,61.81
2025-05-12T07:00:00Z,89.44,6.0
2025-05-12T21:00:00Z,161.97,70.44
2025-05-12T15:00:00Z,81.33,-1.54
2025-05-12T01:00:00Z,95.71,15.3
2025-05-12T03:00:00Z,93.74,15.3
2025-05-12T11:00:00Z,141.51,-4.0
2025-05-12T19:00:00Z,276.83,122.03
2025-05-12T00:00:00Z,97.45,17.7
2025-05-12T06:00:00Z,110.64,22.1
2025-05-12T08:00:00Z,147.04,-0.89
2025-05-12T02:00:00Z,93.93,14.0
2025-05-12T17:00:00Z,160.96,10.3
2025-05-12T14:00:00Z,79.24,-4.0
2025-05-12T09:00:00Z,145.27,-3.0
2025-05-12T05:00:00Z,103.4,35.01
2025-05-12T16:00:00Z,148.98,0.0
2025-05-12T13:00:00Z,78.4,-4.21
2025-05-12T20:00:00Z,196.35,103.75
2025-05-12T10:00:00Z,144.4,-4.0
2025-05-12T04:00:00Z,97.3,22.34
2025-05-12T12:00:00Z,77.42,-4.0
2025-05-12T18:00:00Z,214.1,61.81
2025-05-12T07:00:00Z,89.44,6.0
2025-05-12T21:00:00Z,161.97,70.44
2025-05-12T15:00:00Z,81.33,-1.54
2025-05-12T01:00:00Z,95.71,15.3
2025-05-12T03:00:00Z,93.74,15.3
2025-05-12T11:00:00Z,141.51,-4.0
2025-05-12T19:00:00Z,276.83,122.03
2025-05-12T00:00:00Z,97.45,17.7
2025-05-12T06:00:00Z,110.64,22.1
2025-05-12T08:00:00Z,147.04,-0.89
2025-05-12T02:00:00Z,93.93,14.0
2025-05-12T17:00:00Z,160.96,10.3
2025-05-12T14:00:00Z,79.24,-4.0
2025-05-12T09:00:00Z,145.27,-3.0
2025-05-12T05:00:00Z,103.4,35.01
2025-05-12T16:00:00Z,148.98,0.0
2025-05-12T13:00:00Z,78.4,-4.21
2025-05-12T20:00:00Z,196.35,103.75
2025-05-12T10:00:00Z,144.4,-4.0
2025-05-12T04:00:00Z,97.3,22.34
2025-05-12T12:00:00Z,77.42,-4.0
2025-05-12T18:00:00Z,214.1,61.81
2025-05-12T07:00:00Z,89.44,6.0
2025-05-12T21:00:00Z,161.97,70.44
2025-05-12T15:00:00Z,81.33,-1.54
2025-05-12T01:00:00Z,95.71,15.3
2025-05-12T03:00:00Z,93.74,15.3
2025-05-12T11:00:00Z,141.51,-4.0
2025-05-12T19:00:00Z,276.83,122.03
2025-05-12T00:00:00Z,97.45,17.7
2025-05-12T06:00:00Z,110.64,22.1
2025-05-12T08:00:00Z,147.04,-0.89
2025-05-12T02:00:00Z,93.93,14.0
2025-05-12T17:00:00Z,160.96,10.3
2025-05-12T14:00:00Z,79.24,-4.0
2025-05-12T09:00:00Z,145.27,-3.0
2025-05-12T05:00:00Z,103.4,35.01
2025-05-12T16:00:00Z,148.98,0.0
2025-05-12T13:00:00Z,78.4,-4.21
2025-05-12T20:00:00Z,196.35,103.75
2025-05-12T10:00:00Z,144.4,-4.0
2025-05-12T04:00:00Z,97.3,22.34
2025-05-12T12:00:00Z,77.42,-4.0
2025-05-12T18:00:00Z,214.1,61.81
2025-05-12T07:00:00Z,89.44,6.0
2025-05-12T21:00:00Z,161.97,70.44
2025-05-12T15:00:00Z,81.33,-1.54
2025-05-12T01:00:00Z,95.71,15.3
2025-05-12T03:00:00Z,93.74,15.3
2025-05-12T11:00:00Z,141.51,-4.0
2025-05-12T19:00:00Z,276.83,122.03
2025-05-12T00:00:00Z,97.45,17.7
2025-05-12T06:00:00Z,110.64,22.1
2025-05-12T08:00:00Z,147.04,-0.89
2025-05-12T02:00:00Z,93.93,14.0
2025-05-12T17:00:00Z,160.96,10.3
2025-05-12T14:00:00Z,79.24,-4.0
2025-05-12T09:00:00Z,145.27,-3.0
2025-05-12T05:00:00Z,103.4,35.01
2025-05-12T16:00:00Z,148.98,0.0
2025-05-12T13:00:00Z,78.4,-4.21
2025-05-12T20:00:00Z,196.35,103.75
2025-05-12T10:00:00Z,144.4,-4.0
2025-05-12T04:00:00Z,97.3,22.34
2025-05-12T12:00:00Z,77.42,-4.0
2025-05-12T18:00:00Z,214.1,61.81
2025-05-12T07:00:00Z,89.44,6.0
2025-05-12T21:00:00Z,161.97,70.44
2025-05-12T15:00:00Z,81.33,-1.54
2025-05-12T01:00:00Z,95.71,15.3
2025-05-12T23:00:00Z,111.48,45.01
2025-05-12T22:00:00Z,130.83,67.0
